
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
1,Fri Nov 6 1992,,,Box Score,,Washington Bullets,W,,126,119,1,0,W 1,
2,Sun Nov 8 1992,,,Box Score,@,Cleveland Cavaliers,L,,107,127,1,1,L 1,
3,Tue Nov 10 1992,,,Box Score,@,Orlando Magic,W,,112,108,2,1,W 1,
4,Wed Nov 11 1992,,,Box Score,,Boston Celtics,L,,99,109,2,2,L 1,
5,Fri Nov 13 1992,,,Box Score,@,Indiana Pacers,L,,109,110,2,3,L 2,
6,Sat Nov 14 1992,,,Box Score,,Miami Heat,L,,95,104,2,4,L 3,
7,Tue Nov 17 1992,,,Box Score,,Dallas Mavericks,W,,134,111,3,4,W 1,
8,Fri Nov 20 1992,,,Box Score,,Golden State Warriors,W,OT,117,110,4,4,W 2,
9,Sat Nov 21 1992,,,Box Score,@,Miami Heat,W,,123,111,5,4,W 3,
10,Tue Nov 24 1992,,,Box Score,,Philadelphia 76ers,W,,127,119,6,4,W 4,
11,Wed Nov 25 1992,,,Box Score,@,Detroit Pistons,W,,101,97,7,4,W 5,
12,Fri Nov 27 1992,,,Box Score,@,Boston Celtics,L,,102,111,7,5,L 1,
13,Sat Nov 28 1992,,,Box Score,,Indiana Pacers,L,,122,134,7,6,L 2,
14,Tue Dec 1 1992,,,Box Score,@,Phoenix Suns,L,,90,109,7,7,L 3,
15,Wed Dec 2 1992,,,Box Score,@,Golden State Warriors,W,,111,110,8,7,W 1,
16,Fri Dec 4 1992,,,Box Score,@,Sacramento Kings,W,,112,111,9,7,W 2,
17,Sat Dec 5 1992,,,Box Score,@,Los Angeles Clippers,L,,109,119,9,8,L 1,
18,Wed Dec 9 1992,,,Box Score,,Phoenix Suns,L,,101,110,9,9,L 2,
19,Thu Dec 10 1992,,,Box Score,@,New York Knicks,W,OT,110,103,10,9,W 1,
20,Sat Dec 12 1992,,,Box Score,,Denver Nuggets,W,,109,100,11,9,W 2,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
21,Tue Dec 15 1992,,,Box Score,@,Chicago Bulls,L,,110,125,11,10,L 1,
22,Wed Dec 16 1992,,,Box Score,,Utah Jazz,L,,91,93,11,11,L 2,
23,Sat Dec 19 1992,,,Box Score,@,Washington Bullets,W,,126,117,12,11,W 1,
24,Tue Dec 22 1992,,,Box Score,@,Atlanta Hawks,W,,130,114,13,11,W 2,
25,Wed Dec 23 1992,,,Box Score,,Detroit Pistons,W,,107,95,14,11,W 3,
26,Mon Dec 28 1992,,,Box Score,@,New Jersey Nets,L,,103,104,14,12,L 1,
27,Tue Dec 29 1992,,,Box Score,,Chicago Bulls,L,,103,114,14,13,L 2,
28,Sat Jan 2 1993,,,Box Score,,New Jersey Nets,W,,118,117,15,13,W 1,
29,Tue Jan 5 1993,,,Box Score,,Boston Celtics,L,,103,107,15,14,L 1,
30,Fri Jan 8 1993,,,Box Score,,Los Angeles Clippers,W,,115,101,16,14,W 1,
31,Mon Jan 11 1993,,,Box Score,@,Dallas Mavericks,W,,132,113,17,14,W 2,
32,Thu Jan 14 1993,,,Box Score,@,Houston Rockets,L,,102,114,17,15,L 1,
33,Sat Jan 16 1993,,,Box Score,@,San Antonio Spurs,L,,111,124,17,16,L 2,
34,Tue Jan 19 1993,,,Box Score,,Atlanta Hawks,L,,100,102,17,17,L 3,
35,Wed Jan 20 1993,,,Box Score,@,New York Knicks,L,,91,114,17,18,L 4,
36,Fri Jan 22 1993,,,Box Score,@,Chicago Bulls,W,,105,97,18,18,W 1,
37,Sun Jan 24 1993,,,Box Score,,Indiana Pacers,L,,105,112,18,19,L 1,
38,Wed Jan 27 1993,,,Box Score,,Sacramento Kings,W,,117,107,19,19,W 1,
39,Fri Jan 29 1993,,,Box Score,,Los Angeles Lakers,L,,108,123,19,20,L 1,
40,Sat Jan 30 1993,,,Box Score,@,Washington Bullets,W,OT,127,121,20,20,W 1,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
41,Mon Feb 1 1993,,,Box Score,,Seattle SuperSonics,W,,112,100,21,20,W 2,
42,Wed Feb 3 1993,,,Box Score,@,Philadelphia 76ers,W,,129,118,22,20,W 3,
43,Fri Feb 5 1993,,,Box Score,,Milwaukee Bucks,W,,118,111,23,20,W 4,
44,Tue Feb 9 1993,,,Box Score,,Cleveland Cavaliers,L,,103,107,23,21,L 1,
45,Thu Feb 11 1993,,,Box Score,,Orlando Magic,W,,116,107,24,21,W 1,
46,Fri Feb 12 1993,,,Box Score,@,Miami Heat,W,,116,107,25,21,W 2,
47,Sun Feb 14 1993,,,Box Score,,Detroit Pistons,W,,117,107,26,21,W 3,
48,Mon Feb 15 1993,,,Box Score,@,Milwaukee Bucks,L,,122,128,26,22,L 1,
49,Wed Feb 17 1993,,,Box Score,,New York Knicks,L,,116,124,26,23,L 2,
50,Tue Feb 23 1993,,,Box Score,,New Jersey Nets,W,,104,95,27,23,W 1,
51,Thu Feb 25 1993,,,Box Score,,San Antonio Spurs,W,,111,104,28,23,W 2,
52,Fri Feb 26 1993,,,Box Score,@,Indiana Pacers,L,,105,137,28,24,L 1,
53,Sun Feb 28 1993,,,Box Score,@,Denver Nuggets,L,,103,110,28,25,L 2,
54,Mon Mar 1 1993,,,Box Score,@,Utah Jazz,W,,110,107,29,25,W 1,
55,Thu Mar 4 1993,,,Box Score,@,Seattle SuperSonics,L,,112,138,29,26,L 1,
56,Fri Mar 5 1993,,,Box Score,@,Portland Trail Blazers,W,,94,92,30,26,W 1,
57,Sun Mar 7 1993,,,Box Score,@,Los Angeles Lakers,W,,105,101,31,26,W 2,
58,Tue Mar 9 1993,,,Box Score,,Washington Bullets,W,,124,104,32,26,W 3,
59,Thu Mar 11 1993,,,Box Score,@,Cleveland Cavaliers,L,,99,118,32,27,L 1,
60,Fri Mar 12 1993,,,Box Score,@,Chicago Bulls,L,,108,123,32,28,L 2,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
61,Sun Mar 14 1993,,,Box Score,@,Boston Celtics,W,,96,93,33,28,W 1,
62,Tue Mar 16 1993,,,Box Score,,Atlanta Hawks,L,,107,122,33,29,L 1,
63,Thu Mar 18 1993,,,Box Score,,Minnesota Timberwolves,W,,113,85,34,29,W 1,
64,Fri Mar 19 1993,,,Box Score,@,Indiana Pacers,L,,108,112,34,30,L 1,
65,Sun Mar 21 1993,,,Box Score,@,Minnesota Timberwolves,W,,99,95,35,30,W 1,
66,Tue Mar 23 1993,,,Box Score,,Houston Rockets,L,,103,111,35,31,L 1,
67,Wed Mar 24 1993,,,Box Score,@,New Jersey Nets,L,,116,118,35,32,L 2,
68,Fri Mar 26 1993,,,Box Score,@,Detroit Pistons,L,,107,115,35,33,L 3,
69,Sun Mar 28 1993,,,Box Score,,Portland Trail Blazers,L,,114,121,35,34,L 4,
70,Tue Mar 30 1993,,,Box Score,,Miami Heat,L,,89,116,35,35,L 5,
71,Thu Apr 1 1993,,,Box Score,@,Orlando Magic,W,,102,93,36,35,W 1,
72,Fri Apr 2 1993,,,Box Score,,Cleveland Cavaliers,W,,114,113,37,35,W 2,
73,Wed Apr 7 1993,,,Box Score,,Orlando Magic,L,,96,109,37,36,L 1,
74,Fri Apr 9 1993,,,Box Score,@,Philadelphia 76ers,W,,122,113,38,36,W 1,
75,Sat Apr 10 1993,,,Box Score,,Atlanta Hawks,L,,105,118,38,37,L 1,
76,Mon Apr 12 1993,,,Box Score,,Philadelphia 76ers,W,,120,101,39,37,W 1,
77,Wed Apr 14 1993,,,Box Score,,New York Knicks,L,,107,111,39,38,L 1,
78,Fri Apr 16 1993,,,Box Score,,Detroit Pistons,W,,127,93,40,38,W 1,
79,Sat Apr 17 1993,,,Box Score,@,Atlanta Hawks,W,,110,107,41,38,W 2,
80,Wed Apr 21 1993,,,Box Score,,Milwaukee Bucks,W,,119,111,42,38,W 3,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
