
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
1,Fri Nov 6 1992,,,Box Score,@,Cleveland Cavaliers,W,,101,96,1,0,W 1,
2,Sat Nov 7 1992,,,Box Score,,Atlanta Hawks,L,,99,100,1,1,L 1,
3,Mon Nov 9 1992,,,Box Score,,Indiana Pacers,W,,102,97,2,1,W 1,
4,Wed Nov 11 1992,,,Box Score,,Detroit Pistons,W,OT,98,96,3,1,W 2,
5,Fri Nov 13 1992,,,Box Score,@,Milwaukee Bucks,W,,101,96,4,1,W 3,
6,Sat Nov 14 1992,,,Box Score,,Denver Nuggets,W,,117,84,5,1,W 4,
7,Tue Nov 17 1992,,,Box Score,@,Minnesota Timberwolves,W,,124,103,6,1,W 5,
8,Thu Nov 19 1992,,,Box Score,@,Seattle SuperSonics,W,,108,99,7,1,W 6,
9,Fri Nov 20 1992,,,Box Score,@,Los Angeles Lakers,L,OT,118,120,7,2,L 1,
10,Sun Nov 22 1992,,,Box Score,@,Phoenix Suns,W,,128,111,8,2,W 1,
11,Tue Nov 24 1992,,,Box Score,@,Golden State Warriors,W,,101,92,9,2,W 2,
12,Sat Nov 28 1992,,,Box Score,@,New York Knicks,L,,75,112,9,3,L 1,
13,Wed Dec 2 1992,,,Box Score,@,Boston Celtics,L,,96,101,9,4,L 2,
14,Fri Dec 4 1992,,,Box Score,,Portland Trail Blazers,W,,111,99,10,4,W 1,
15,Sat Dec 5 1992,,,Box Score,,Boston Celtics,W,,96,89,11,4,W 2,
16,Tue Dec 8 1992,,,Box Score,@,Atlanta Hawks,L,,114,123,11,5,L 1,
17,Wed Dec 9 1992,,,Box Score,,Cleveland Cavaliers,W,,108,91,12,5,W 1,
18,Fri Dec 11 1992,,,Box Score,,Houston Rockets,L,,96,110,12,6,L 1,
19,Sat Dec 12 1992,,,Box Score,,New Jersey Nets,W,,95,89,13,6,W 1,
20,Tue Dec 15 1992,,,Box Score,,Charlotte Hornets,W,,125,110,14,6,W 2,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
21,Thu Dec 17 1992,,,Box Score,@,Washington Bullets,W,,107,99,15,6,W 3,
22,Sat Dec 19 1992,,,Box Score,,Philadelphia 76ers,L,,96,98,15,7,L 1,
23,Mon Dec 21 1992,,,Box Score,,Miami Heat,W,,86,82,16,7,W 1,
24,Wed Dec 23 1992,,,Box Score,,Washington Bullets,W,,107,98,17,7,W 2,
25,Fri Dec 25 1992,,,Box Score,,New York Knicks,W,,89,77,18,7,W 3,
26,Sat Dec 26 1992,,,Box Score,@,Indiana Pacers,W,,95,84,19,7,W 4,
27,Tue Dec 29 1992,,,Box Score,@,Charlotte Hornets,W,,114,103,20,7,W 5,
28,Wed Dec 30 1992,,,Box Score,@,Miami Heat,W,,105,100,21,7,W 6,
29,Sat Jan 2 1993,,,Box Score,,Indiana Pacers,W,,109,100,22,7,W 7,
30,Tue Jan 5 1993,,,Box Score,,Los Angeles Lakers,L,,88,91,22,8,L 1,
31,Wed Jan 6 1993,,,Box Score,@,Cleveland Cavaliers,L,,95,117,22,9,L 2,
32,Fri Jan 8 1993,,,Box Score,,Milwaukee Bucks,W,,120,95,23,9,W 1,
33,Sat Jan 9 1993,,,Box Score,@,Philadelphia 76ers,L,,91,104,23,10,L 1,
34,Tue Jan 12 1993,,,Box Score,@,Orlando Magic,W,,122,106,24,10,W 1,
35,Fri Jan 15 1993,,,Box Score,,Golden State Warriors,W,,122,101,25,10,W 2,
36,Sat Jan 16 1993,,,Box Score,,Orlando Magic,L,OT,124,128,25,11,L 1,
37,Mon Jan 18 1993,,,Box Score,,Boston Celtics,W,,103,93,26,11,W 1,
38,Thu Jan 21 1993,,,Box Score,@,New Jersey Nets,W,,107,94,27,11,W 2,
39,Fri Jan 22 1993,,,Box Score,,Charlotte Hornets,L,,97,105,27,12,L 1,
40,Sun Jan 24 1993,,,Box Score,@,San Antonio Spurs,L,,99,103,27,13,L 2,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
41,Tue Jan 26 1993,,,Box Score,@,Dallas Mavericks,W,,123,88,28,13,W 1,
42,Thu Jan 28 1993,,,Box Score,@,Houston Rockets,L,,83,94,28,14,L 1,
43,Sat Jan 30 1993,,,Box Score,@,Denver Nuggets,L,,102,109,28,15,L 2,
44,Mon Feb 1 1993,,,Box Score,@,Utah Jazz,W,,96,92,29,15,W 1,
45,Wed Feb 3 1993,,,Box Score,@,Sacramento Kings,W,,107,88,30,15,W 2,
46,Thu Feb 4 1993,,,Box Score,@,Los Angeles Clippers,W,OT,107,105,31,15,W 3,
47,Sun Feb 7 1993,,,Box Score,@,Portland Trail Blazers,W,,101,91,32,15,W 4,
48,Wed Feb 10 1993,,,Box Score,@,Indiana Pacers,W,,115,104,33,15,W 5,
49,Fri Feb 12 1993,,,Box Score,,New York Knicks,L,,98,104,33,16,L 1,
50,Sat Feb 13 1993,,,Box Score,,Cleveland Cavaliers,L,,111,116,33,17,L 2,
51,Mon Feb 15 1993,,,Box Score,,Sacramento Kings,W,,119,101,34,17,W 1,
52,Wed Feb 17 1993,,,Box Score,,Utah Jazz,W,,114,96,35,17,W 2,
53,Tue Feb 23 1993,,,Box Score,,Milwaukee Bucks,W,,99,95,36,17,W 3,
54,Thu Feb 25 1993,,,Box Score,@,Orlando Magic,W,,108,106,37,17,W 4,
55,Sat Feb 27 1993,,,Box Score,,Atlanta Hawks,W,,112,92,38,17,W 5,
56,Tue Mar 2 1993,,,Box Score,@,New Jersey Nets,W,,87,80,39,17,W 6,
57,Wed Mar 3 1993,,,Box Score,,Dallas Mavericks,W,,125,97,40,17,W 7,
58,Fri Mar 5 1993,,,Box Score,,San Antonio Spurs,L,OT,102,107,40,18,L 1,
59,Tue Mar 9 1993,,,Box Score,,Seattle SuperSonics,W,,86,83,41,18,W 1,
60,Thu Mar 11 1993,,,Box Score,@,Miami Heat,L,,95,97,41,19,L 1,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
61,Fri Mar 12 1993,,,Box Score,,Charlotte Hornets,W,,123,108,42,19,W 1,
62,Sun Mar 14 1993,,,Box Score,@,Detroit Pistons,L,,99,101,42,20,L 1,
63,Mon Mar 15 1993,,,Box Score,,Los Angeles Clippers,W,,101,94,43,20,W 1,
