
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
1,Fri Nov 2 1990,,,Box Score,@,Boston Celtics,L,,101,125,0,1,L 1,
2,Sat Nov 3 1990,,,Box Score,@,Detroit Pistons,L,,97,106,0,2,L 2,
3,Tue Nov 6 1990,,,Box Score,@,Orlando Magic,W,,102,95,1,2,W 1,
4,Wed Nov 7 1990,,,Box Score,,Charlotte Hornets,W,,100,89,2,2,W 2,
5,Fri Nov 9 1990,,,Box Score,@,Indiana Pacers,L,,107,122,2,3,L 1,
6,Sat Nov 10 1990,,,Box Score,,Philadelphia 76ers,W,,104,88,3,3,W 1,
7,Tue Nov 13 1990,,,Box Score,@,Atlanta Hawks,W,,121,104,4,3,W 2,
8,Wed Nov 14 1990,,,Box Score,,Indiana Pacers,W,,113,95,5,3,W 3,
9,Fri Nov 16 1990,,,Box Score,,Milwaukee Bucks,W,,99,94,6,3,W 4,
10,Sat Nov 17 1990,,,Box Score,@,Charlotte Hornets,L,,100,112,6,4,L 1,
11,Wed Nov 21 1990,,,Box Score,,Miami Heat,W,,123,109,7,4,W 1,
12,Fri Nov 23 1990,,,Box Score,@,Philadelphia 76ers,L,,105,111,7,5,L 1,
13,Sat Nov 24 1990,,,Box Score,,Boston Celtics,L,,102,113,7,6,L 2,
14,Tue Nov 27 1990,,,Box Score,@,New York Knicks,W,,107,102,8,6,W 1,
15,Wed Nov 28 1990,,,Box Score,,Golden State Warriors,L,,108,110,8,7,L 1,
16,Fri Nov 30 1990,,,Box Score,@,Atlanta Hawks,W,,101,93,9,7,W 1,
17,Sat Dec 1 1990,,,Box Score,,Chicago Bulls,L,,85,120,9,8,L 1,
18,Tue Dec 4 1990,,,Box Score,,Denver Nuggets,W,,121,117,10,8,W 1,
19,Wed Dec 5 1990,,,Box Score,@,Milwaukee Bucks,L,OT,109,113,10,9,L 1,
20,Sat Dec 8 1990,,,Box Score,@,Indiana Pacers,L,,99,114,10,10,L 2,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
21,Wed Dec 12 1990,,,Box Score,,Los Angeles Clippers,L,,90,100,10,11,L 3,
22,Fri Dec 14 1990,,,Box Score,,San Antonio Spurs,L,OT,106,116,10,12,L 4,
23,Sat Dec 15 1990,,,Box Score,@,Chicago Bulls,L,,98,116,10,13,L 5,
24,Mon Dec 17 1990,,,Box Score,,Atlanta Hawks,L,,98,109,10,14,L 6,
25,Wed Dec 19 1990,,,Box Score,,Los Angeles Lakers,W,,84,74,11,14,W 1,
26,Fri Dec 21 1990,,,Box Score,@,New Jersey Nets,L,,103,111,11,15,L 1,
