
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
1,Tue Oct 31 2000,7:00p EST,,Box Score,,Milwaukee Bucks,W,,97,93,1,0,W 1,
2,Thu Nov 2 2000,7:00p EST,,Box Score,,Indiana Pacers,W,,94,88,2,0,W 2,
3,Sat Nov 4 2000,7:00p EST,,Box Score,,Utah Jazz,L,,106,112,2,1,L 1,
4,Mon Nov 6 2000,7:00p EST,,Box Score,@,Denver Nuggets,W,,108,96,3,1,W 1,
5,Wed Nov 8 2000,7:00p EST,,Box Score,,Vancouver Grizzlies,L,,74,101,3,2,L 1,
6,Fri Nov 10 2000,7:00p EST,,Box Score,,San Antonio Spurs,W,,79,77,4,2,W 1,
7,Sun Nov 12 2000,6:00p EST,,Box Score,@,Sacramento Kings,L,,84,109,4,3,L 1,
8,Mon Nov 13 2000,7:30p EST,,Box Score,@,Los Angeles Clippers,W,,90,76,5,3,W 1,
9,Wed Nov 15 2000,7:00p EST,,Box Score,@,Phoenix Suns,L,,78,99,5,4,L 1,
10,Fri Nov 17 2000,7:00p EST,,Box Score,@,Seattle SuperSonics,W,,99,95,6,4,W 1,
11,Sat Nov 18 2000,7:00p EST,,Box Score,@,Vancouver Grizzlies,W,,91,88,7,4,W 2,
12,Mon Nov 20 2000,7:00p EST,,Box Score,@,Utah Jazz,W,,107,98,8,4,W 3,
13,Tue Nov 21 2000,7:00p EST,,Box Score,,Seattle SuperSonics,L,,110,116,8,5,L 1,
14,Sat Nov 25 2000,7:00p EST,,Box Score,,Denver Nuggets,W,,108,84,9,5,W 1,
15,Tue Nov 28 2000,7:00p EST,,Box Score,,Toronto Raptors,W,,107,93,10,5,W 2,
16,Thu Nov 30 2000,7:00p EST,,Box Score,@,Portland Trail Blazers,L,,84,95,10,6,L 1,
17,Sat Dec 2 2000,7:30p EST,,Box Score,@,Golden State Warriors,W,,97,78,11,6,W 1,
18,Sun Dec 3 2000,6:30p EST,,Box Score,@,Los Angeles Lakers,L,,97,99,11,7,L 1,
19,Tue Dec 5 2000,7:30p EST,,Box Score,@,Houston Rockets,L,,102,109,11,8,L 2,
20,Wed Dec 6 2000,7:00p EST,,Box Score,,New York Knicks,W,,94,85,12,8,W 1,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
21,Fri Dec 8 2000,7:00p EST,,Box Score,,Chicago Bulls,W,,105,86,13,8,W 2,
22,Sun Dec 10 2000,7:30p EST,,Box Score,@,New Jersey Nets,W,,99,73,14,8,W 3,
23,Tue Dec 12 2000,7:30p EST,,Box Score,@,Cleveland Cavaliers,L,,87,92,14,9,L 1,
24,Wed Dec 13 2000,7:00p EST,,Box Score,@,Indiana Pacers,L,,92,97,14,10,L 2,
25,Fri Dec 15 2000,7:00p EST,,Box Score,@,Philadelphia 76ers,W,,112,94,15,10,W 1,
