
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
1,Fri Nov 1 1996,,,Box Score,,Indiana Pacers,W,,95,89,1,0,W 1,
2,Sat Nov 2 1996,,,Box Score,@,Atlanta Hawks,W,,90,78,2,0,W 2,
3,Tue Nov 5 1996,,,Box Score,@,Philadelphia 76ers,W,,83,81,3,0,W 3,
4,Wed Nov 6 1996,,,Box Score,,Dallas Mavericks,W,,103,84,4,0,W 4,
5,Fri Nov 8 1996,,,Box Score,,Chicago Bulls,L,,80,98,4,1,L 1,
6,Tue Nov 12 1996,,,Box Score,@,Washington Bullets,W,,92,79,5,1,W 1,
7,Wed Nov 13 1996,,,Box Score,,Denver Nuggets,W,OT,95,94,6,1,W 2,
8,Fri Nov 15 1996,,,Box Score,,Washington Bullets,W,,95,84,7,1,W 3,
9,Sat Nov 16 1996,,,Box Score,@,Cleveland Cavaliers,W,,102,98,8,1,W 4,
10,Wed Nov 20 1996,,,Box Score,@,Boston Celtics,W,,108,83,9,1,W 5,
11,Thu Nov 21 1996,,,Box Score,,New Jersey Nets,W,,96,88,10,1,W 6,
12,Sat Nov 23 1996,,,Box Score,@,Charlotte Hornets,L,,85,93,10,2,L 1,
13,Wed Nov 27 1996,,,Box Score,,Vancouver Grizzlies,W,,87,78,11,2,W 1,
14,Fri Nov 29 1996,,,Box Score,,Los Angeles Lakers,L,,76,84,11,3,L 1,
15,Sun Dec 1 1996,,,Box Score,,Sacramento Kings,W,,95,66,12,3,W 1,
16,Wed Dec 4 1996,,,Box Score,,Atlanta Hawks,W,,100,90,13,3,W 2,
17,Fri Dec 6 1996,,,Box Score,,Cleveland Cavaliers,W,,93,81,14,3,W 3,
18,Sat Dec 7 1996,,,Box Score,@,New Jersey Nets,W,,95,69,15,3,W 4,
19,Tue Dec 10 1996,,,Box Score,@,Milwaukee Bucks,W,,93,85,16,3,W 5,
20,Thu Dec 12 1996,,,Box Score,@,Houston Rockets,L,,96,115,16,4,L 1,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
21,Sun Dec 15 1996,,,Box Score,,Boston Celtics,W,,99,89,17,4,W 1,
