
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
1,Fri Nov 4 1994,,,Box Score,,New Jersey Nets,W,,90,86,1,0,W 1,
2,Sat Nov 5 1994,,,Box Score,@,Minnesota Timberwolves,W,,115,85,2,0,W 2,
3,Tue Nov 8 1994,,,Box Score,@,Cleveland Cavaliers,W,,100,98,3,0,W 3,
4,Wed Nov 9 1994,,,Box Score,@,Indiana Pacers,W,,109,104,4,0,W 4,
5,Fri Nov 11 1994,,,Box Score,@,Boston Celtics,W,,102,82,5,0,W 5,
6,Sat Nov 12 1994,,,Box Score,@,New Jersey Nets,W,,100,84,6,0,W 6,
7,Tue Nov 15 1994,,,Box Score,,Sacramento Kings,W,,105,99,7,0,W 7,
8,Thu Nov 17 1994,,,Box Score,,Chicago Bulls,W,,106,83,8,0,W 8,
9,Sat Nov 19 1994,,,Box Score,@,Denver Nuggets,W,,109,101,9,0,W 9,
10,Tue Nov 22 1994,,,Box Score,,Portland Trail Blazers,L,,94,102,9,1,L 1,
11,Wed Nov 23 1994,,,Box Score,@,Orlando Magic,L,,94,117,9,2,L 2,
12,Sat Nov 26 1994,,,Box Score,,Seattle SuperSonics,L,,94,98,9,3,L 3,
13,Tue Nov 29 1994,,,Box Score,,Denver Nuggets,W,,96,81,10,3,W 1,
14,Thu Dec 1 1994,,,Box Score,@,Golden State Warriors,W,,113,109,11,3,W 2,
15,Fri Dec 2 1994,,,Box Score,@,Los Angeles Lakers,L,,89,107,11,4,L 1,
16,Tue Dec 6 1994,,,Box Score,@,Seattle SuperSonics,L,,90,103,11,5,L 2,
17,Thu Dec 8 1994,,,Box Score,,Charlotte Hornets,W,,101,95,12,5,W 1,
18,Sat Dec 10 1994,,,Box Score,,San Antonio Spurs,L,,96,108,12,6,L 1,
19,Tue Dec 13 1994,,,Box Score,,Washington Bullets,W,,93,85,13,6,W 1,
20,Thu Dec 15 1994,,,Box Score,,Los Angeles Lakers,L,,94,97,13,7,L 1,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
