
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
1,Tue Oct 31 2000,7:30p EST,,Box Score,@,San Antonio Spurs,L,,85,98,0,1,L 1,
2,Thu Nov 2 2000,7:00p EST,,Box Score,@,Dallas Mavericks,L,,88,94,0,2,L 2,
3,Sat Nov 4 2000,7:00p EST,,Box Score,,Chicago Bulls,W,,94,81,1,2,W 1,
4,Wed Nov 8 2000,7:00p EST,,Box Score,,Milwaukee Bucks,W,,108,97,2,2,W 2,
5,Fri Nov 10 2000,7:00p EST,,Box Score,@,Washington Wizards,W,,86,74,3,2,W 3,
6,Sat Nov 11 2000,7:00p EST,,Box Score,,Detroit Pistons,W,,94,84,4,2,W 4,
7,Wed Nov 15 2000,7:30p EST,,Box Score,@,Detroit Pistons,W,,92,88,5,2,W 5,
8,Fri Nov 17 2000,7:00p EST,,Box Score,,Golden State Warriors,L,,90,92,5,3,L 1,
9,Sat Nov 18 2000,8:00p EST,,Box Score,@,New Jersey Nets,L,,92,97,5,4,L 2,
10,Tue Nov 21 2000,7:00p EST,,Box Score,,Houston Rockets,L,,89,101,5,5,L 3,
11,Thu Nov 23 2000,8:00p EST,,Box Score,,Toronto Raptors,L,,91,111,5,6,L 4,
12,Fri Nov 24 2000,8:00p EST,,Box Score,,Washington Wizards,W,,99,87,6,6,W 1,
13,Tue Nov 28 2000,7:30p EST,,Box Score,@,Los Angeles Lakers,L,,107,124,6,7,L 1,
14,Thu Nov 30 2000,7:30p EST,,Box Score,@,Golden State Warriors,L,,95,99,6,8,L 2,
15,Fri Dec 1 2000,7:00p EST,,Box Score,@,Vancouver Grizzlies,W,OT,86,76,7,8,W 1,
16,Sun Dec 3 2000,2:00p EST,,Box Score,@,Milwaukee Bucks,L,,80,92,7,9,L 1,
17,Tue Dec 5 2000,7:00p EST,,Box Score,,New Jersey Nets,W,,88,64,8,9,W 1,
18,Wed Dec 6 2000,7:30p EST,,Box Score,@,Charlotte Hornets,L,,88,91,8,10,L 1,
19,Fri Dec 8 2000,7:30p EST,,Box Score,@,Boston Celtics,W,,104,91,9,10,W 1,
20,Sat Dec 9 2000,7:00p EST,,Box Score,,Charlotte Hornets,W,OT,99,96,10,10,W 2,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
21,Tue Dec 12 2000,7:00p EST,,Box Score,@,Toronto Raptors,L,,90,104,10,11,L 1,
22,Wed Dec 13 2000,7:00p EST,,Box Score,,Dallas Mavericks,W,,97,92,11,11,W 1,
23,Fri Dec 15 2000,7:00p EST,,Box Score,,Cleveland Cavaliers,L,,95,103,11,12,L 1,
24,Sat Dec 16 2000,7:00p EST,,Box Score,@,Minnesota Timberwolves,L,OT,110,113,11,13,L 2,
25,Tue Dec 19 2000,7:30p EST,,Box Score,@,Chicago Bulls,W,,90,85,12,13,W 1,
26,Wed Dec 20 2000,7:00p EST,,Box Score,,Toronto Raptors,L,OT,98,99,12,14,L 1,
27,Fri Dec 22 2000,7:00p EST,,Box Score,,Utah Jazz,L,,101,109,12,15,L 2,
28,Sat Dec 23 2000,7:30p EST,,Box Score,@,Atlanta Hawks,L,,87,91,12,16,L 3,
29,Mon Dec 25 2000,3:00p EST,,Box Score,,Orlando Magic,W,,103,93,13,16,W 1,
30,Wed Dec 27 2000,8:00p EST,,Box Score,@,Miami Heat,L,,79,91,13,17,L 1,
31,Sat Dec 30 2000,7:30p EST,,Box Score,,San Antonio Spurs,L,,77,89,13,18,L 2,
32,Tue Jan 2 2001,7:00p EST,,Box Score,@,Seattle SuperSonics,W,,91,83,14,18,W 1,
