
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
1,Tue Oct 31 2000,7:30p EST,,Box Score,@,Portland Trail Blazers,W,,96,86,1,0,W 1,
2,Wed Nov 1 2000,7:30p EST,,Box Score,,Utah Jazz,L,,92,97,1,1,L 1,
3,Sat Nov 4 2000,12:30p EST,,Box Score,@,Vancouver Grizzlies,W,,98,89,2,1,W 1,
4,Sun Nov 5 2000,6:30p EST,,Box Score,,Los Angeles Clippers,W,,108,103,3,1,W 2,
5,Tue Nov 7 2000,7:30p EST,,Box Score,@,Houston Rockets,L,,74,84,3,2,L 1,
6,Wed Nov 8 2000,7:00p EST,,Box Score,@,San Antonio Spurs,L,,81,91,3,3,L 2,
7,Sun Nov 12 2000,6:30p EST,,Box Score,,Houston Rockets,W,,105,99,4,3,W 1,
8,Tue Nov 14 2000,7:30p EST,,Box Score,,Denver Nuggets,W,,119,103,5,3,W 2,
9,Thu Nov 16 2000,5:00p EST,,Box Score,@,Sacramento Kings,W,OT,112,110,6,3,W 3,
10,Sat Nov 18 2000,7:00p EST,,Box Score,@,Denver Nuggets,L,,86,87,6,4,L 1,
11,Sun Nov 19 2000,6:30p EST,,Box Score,,Chicago Bulls,W,,104,96,7,4,W 1,
12,Wed Nov 22 2000,7:30p EST,,Box Score,,Golden State Warriors,W,,111,91,8,4,W 2,
13,Fri Nov 24 2000,7:30p EST,,Box Score,,Minnesota Timberwolves,W,,115,108,9,4,W 3,
14,Mon Nov 27 2000,7:30p EST,,Box Score,@,Los Angeles Clippers,W,,98,83,10,4,W 4,
15,Tue Nov 28 2000,7:30p EST,,Box Score,,Indiana Pacers,W,,124,107,11,4,W 5,
16,Thu Nov 30 2000,7:00p EST,,Box Score,@,Seattle SuperSonics,L,,88,121,11,5,L 1,
17,Fri Dec 1 2000,7:30p EST,,Box Score,,San Antonio Spurs,W,,109,100,12,5,W 1,
18,Sun Dec 3 2000,6:30p EST,,Box Score,,Dallas Mavericks,W,,99,97,13,5,W 2,
19,Tue Dec 5 2000,7:30p EST,,Box Score,,Philadelphia 76ers,W,,96,85,14,5,W 3,
20,Wed Dec 6 2000,7:30p EST,,Box Score,@,Golden State Warriors,L,OT,122,125,14,6,L 1,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
21,Fri Dec 8 2000,7:30p EST,,Box Score,,Seattle SuperSonics,L,,95,103,14,7,L 2,
22,Sun Dec 10 2000,6:30p EST,,Box Score,,Detroit Pistons,W,,112,88,15,7,W 1,
23,Tue Dec 12 2000,7:30p EST,,Box Score,,Milwaukee Bucks,L,,105,109,15,8,L 1,
24,Wed Dec 13 2000,7:30p EST,,Box Score,@,Portland Trail Blazers,L,,86,96,15,9,L 2,
25,Fri Dec 15 2000,7:30p EST,,Box Score,,Vancouver Grizzlies,W,,98,76,16,9,W 1,
26,Sun Dec 17 2000,1:00p EST,,Box Score,@,Toronto Raptors,W,OT,104,101,17,9,W 2,
27,Tue Dec 19 2000,8:00p EST,,Box Score,@,Miami Heat,W,,81,79,18,9,W 3,
28,Thu Dec 21 2000,7:30p EST,,Box Score,@,Houston Rockets,W,,99,94,19,9,W 4,
29,Fri Dec 22 2000,7:00p EST,,Box Score,@,Dallas Mavericks,W,,108,103,20,9,W 5,
30,Mon Dec 25 2000,2:30p EST,,Box Score,,Portland Trail Blazers,L,,104,109,20,10,L 1,
31,Thu Dec 28 2000,7:00p EST,,Box Score,@,Phoenix Suns,W,,115,78,21,10,W 1,
32,Sat Dec 30 2000,7:30p EST,,Box Score,@,Los Angeles Clippers,W,OT,116,114,22,10,W 2,
33,Wed Jan 3 2001,7:30p EST,,Box Score,,Utah Jazz,W,,82,71,23,10,W 3,
