
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
1,Fri Nov 5 1993,,,Box Score,,Orlando Magic,L,,96,116,0,1,L 1,
2,Sat Nov 6 1993,,,Box Score,@,Chicago Bulls,W,,95,71,1,1,W 1,
3,Thu Nov 11 1993,,,Box Score,,Milwaukee Bucks,W,,116,103,2,1,W 2,
4,Fri Nov 12 1993,,,Box Score,@,Orlando Magic,W,,115,100,3,1,W 3,
5,Wed Nov 17 1993,,,Box Score,,Utah Jazz,L,,111,115,3,2,L 1,
6,Fri Nov 19 1993,,,Box Score,,Atlanta Hawks,L,,92,95,3,3,L 2,
7,Sat Nov 20 1993,,,Box Score,@,Washington Bullets,L,,102,104,3,4,L 3,at Baltimore MD
8,Mon Nov 22 1993,,,Box Score,@,New York Knicks,L,,87,119,3,5,L 4,
9,Wed Nov 24 1993,,,Box Score,,Golden State Warriors,L,,102,108,3,6,L 5,
10,Fri Nov 26 1993,,,Box Score,@,Boston Celtics,W,,101,93,4,6,W 1,
11,Sat Nov 27 1993,,,Box Score,,Charlotte Hornets,W,,114,100,5,6,W 2,
12,Tue Nov 30 1993,,,Box Score,,Portland Trail Blazers,L,,109,123,5,7,L 1,
13,Fri Dec 3 1993,,,Box Score,,Chicago Bulls,L,,99,104,5,8,L 2,
14,Tue Dec 7 1993,,,Box Score,@,Dallas Mavericks,W,,106,101,6,8,W 1,
15,Thu Dec 9 1993,,,Box Score,@,Houston Rockets,L,OT,109,115,6,9,L 1,
16,Sat Dec 11 1993,,,Box Score,,Boston Celtics,W,,111,80,7,9,W 1,
17,Mon Dec 13 1993,,,Box Score,@,New Jersey Nets,L,2OT,105,110,7,10,L 1,
18,Tue Dec 14 1993,,,Box Score,,Houston Rockets,L,,88,97,7,11,L 2,
19,Thu Dec 16 1993,,,Box Score,,Cleveland Cavaliers,W,,90,89,8,11,W 1,
20,Sat Dec 18 1993,,,Box Score,,Philadelphia 76ers,W,,113,90,9,11,W 2,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
21,Wed Dec 22 1993,,,Box Score,@,Philadelphia 76ers,W,,98,90,10,11,W 3,
22,Thu Dec 23 1993,,,Box Score,,Los Angeles Lakers,W,,109,92,11,11,W 4,
23,Sun Dec 26 1993,,,Box Score,,Sacramento Kings,W,,109,95,12,11,W 5,
24,Tue Dec 28 1993,,,Box Score,,San Antonio Spurs,L,,76,84,12,12,L 1,
25,Thu Dec 30 1993,,,Box Score,,Orlando Magic,L,,100,108,12,13,L 2,
26,Sun Jan 2 1994,,,Box Score,@,Detroit Pistons,W,,93,85,13,13,W 1,
27,Tue Jan 4 1994,,,Box Score,,New Jersey Nets,W,,100,83,14,13,W 2,
28,Fri Jan 7 1994,,,Box Score,@,Utah Jazz,W,,110,104,15,13,W 3,
29,Sat Jan 8 1994,,,Box Score,@,Los Angeles Clippers,W,,109,90,16,13,W 4,
30,Tue Jan 11 1994,,,Box Score,@,Sacramento Kings,L,,95,103,16,14,L 1,
31,Wed Jan 12 1994,,,Box Score,@,Golden State Warriors,L,,92,100,16,15,L 2,
32,Fri Jan 14 1994,,,Box Score,@,Portland Trail Blazers,L,,110,115,16,16,L 3,
33,Sat Jan 15 1994,,,Box Score,@,Seattle SuperSonics,L,,78,97,16,17,L 4,
34,Tue Jan 18 1994,,,Box Score,,Los Angeles Clippers,L,,124,126,16,18,L 5,
35,Wed Jan 19 1994,,,Box Score,@,Indiana Pacers,L,,92,109,16,19,L 6,
36,Fri Jan 21 1994,,,Box Score,,Detroit Pistons,L,,98,118,16,20,L 7,
37,Sun Jan 23 1994,,,Box Score,,Washington Bullets,W,,113,80,17,20,W 1,
38,Tue Jan 25 1994,,,Box Score,,Charlotte Hornets,W,,119,98,18,20,W 2,
39,Wed Jan 26 1994,,,Box Score,@,Boston Celtics,L,,98,103,18,21,L 1,
40,Fri Jan 28 1994,,,Box Score,@,Orlando Magic,W,,106,97,19,21,W 1,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
41,Sat Jan 29 1994,,,Box Score,@,Cleveland Cavaliers,W,,113,98,20,21,W 2,
42,Tue Feb 1 1994,,,Box Score,@,Milwaukee Bucks,W,,88,82,21,21,W 3,
43,Fri Feb 4 1994,,,Box Score,@,Charlotte Hornets,W,,124,118,22,21,W 4,
44,Sat Feb 5 1994,,,Box Score,,Philadelphia 76ers,L,,94,96,22,22,L 1,
45,Mon Feb 7 1994,,,Box Score,,New York Knicks,W,,96,85,23,22,W 1,
46,Wed Feb 9 1994,,,Box Score,,Indiana Pacers,L,,98,102,23,23,L 1,
47,Thu Feb 10 1994,,,Box Score,@,Atlanta Hawks,L,,98,114,23,24,L 2,
48,Wed Feb 16 1994,,,Box Score,@,Chicago Bulls,W,,109,101,24,24,W 1,
49,Thu Feb 17 1994,,,Box Score,,Seattle SuperSonics,W,,115,112,25,24,W 2,
50,Sat Feb 19 1994,,,Box Score,@,San Antonio Spurs,L,,96,100,25,25,L 1,
51,Mon Feb 21 1994,,,Box Score,,Washington Bullets,W,,128,98,26,25,W 1,
