
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
1,Fri Nov 1 1991,,,Box Score,@,Orlando Magic,L,,96,106,0,1,L 1,
2,Sat Nov 2 1991,,,Box Score,@,Miami Heat,L,,93,107,0,2,L 2,
3,Tue Nov 5 1991,,,Box Score,,Milwaukee Bucks,W,,113,85,1,2,W 1,
4,Thu Nov 7 1991,,,Box Score,,Orlando Magic,W,,128,100,2,2,W 2,
5,Sat Nov 9 1991,,,Box Score,,Charlotte Hornets,W,,118,113,3,2,W 3,
6,Tue Nov 12 1991,,,Box Score,,New Jersey Nets,W,,98,96,4,2,W 4,
7,Wed Nov 13 1991,,,Box Score,@,Indiana Pacers,L,,107,110,4,3,L 1,
8,Sat Nov 16 1991,,,Box Score,@,San Antonio Spurs,L,,89,106,4,4,L 2,
9,Tue Nov 19 1991,,,Box Score,@,Houston Rockets,L,,79,90,4,5,L 3,
10,Wed Nov 20 1991,,,Box Score,@,Dallas Mavericks,W,,92,89,5,5,W 1,
11,Fri Nov 22 1991,,,Box Score,@,Detroit Pistons,W,,99,90,6,5,W 2,
12,Sat Nov 23 1991,,,Box Score,,Philadelphia 76ers,W,,100,92,7,5,W 3,
13,Tue Nov 26 1991,,,Box Score,,Miami Heat,W,,98,81,8,5,W 4,
14,Sat Nov 30 1991,,,Box Score,,Detroit Pistons,W,,103,96,9,5,W 5,
15,Mon Dec 2 1991,,,Box Score,@,Charlotte Hornets,W,,99,97,10,5,W 6,
16,Fri Dec 6 1991,,,Box Score,@,Boston Celtics,L,,92,103,10,6,L 1,
17,Sat Dec 7 1991,,,Box Score,@,Atlanta Hawks,W,2OT,137,128,11,6,W 1,
18,Tue Dec 10 1991,,,Box Score,@,New Jersey Nets,W,,114,88,12,6,W 2,
19,Wed Dec 11 1991,,,Box Score,,Seattle SuperSonics,W,,96,87,13,6,W 3,
20,Fri Dec 13 1991,,,Box Score,@,Chicago Bulls,L,,89,99,13,7,L 1,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
21,Sat Dec 14 1991,,,Box Score,,Boston Celtics,W,,111,101,14,7,W 1,
22,Tue Dec 17 1991,,,Box Score,,New Jersey Nets,W,,102,94,15,7,W 2,
23,Sat Dec 21 1991,,,Box Score,,Utah Jazz,W,,106,97,16,7,W 3,
24,Mon Dec 23 1991,,,Box Score,@,Minnesota Timberwolves,W,,97,91,17,7,W 4,
25,Thu Dec 26 1991,,,Box Score,,San Antonio Spurs,L,,89,118,17,8,L 1,
26,Sat Dec 28 1991,,,Box Score,,Indiana Pacers,W,OT,115,106,18,8,W 1,
27,Thu Jan 2 1992,,,Box Score,,Cleveland Cavaliers,L,,103,110,18,9,L 1,
28,Sat Jan 4 1992,,,Box Score,@,Washington Bullets,W,,113,99,19,9,W 1,
29,Sun Jan 5 1992,,,Box Score,,Phoenix Suns,W,OT,108,104,20,9,W 2,
30,Tue Jan 7 1992,,,Box Score,,Atlanta Hawks,L,,94,109,20,10,L 1,
31,Wed Jan 8 1992,,,Box Score,@,Boston Celtics,L,,95,99,20,11,L 2,
32,Sat Jan 11 1992,,,Box Score,,Boston Celtics,W,,100,96,21,11,W 1,
33,Tue Jan 14 1992,,,Box Score,@,Orlando Magic,W,,115,111,22,11,W 2,
34,Wed Jan 15 1992,,,Box Score,,Portland Trail Blazers,L,,91,96,22,12,L 1,
35,Fri Jan 17 1992,,,Box Score,@,Milwaukee Bucks,L,,85,90,22,13,L 2,
