
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
1,Tue Oct 31 2000,7:30p EST,,Box Score,,Washington Wizards,W,,97,86,1,0,W 1,
2,Wed Nov 1 2000,8:00p EST,,Box Score,@,Miami Heat,L,,79,105,1,1,L 1,
3,Fri Nov 3 2000,7:30p EST,,Box Score,,Philadelphia 76ers,L,,80,87,1,2,L 2,
4,Sat Nov 4 2000,7:30p EST,,Box Score,@,Atlanta Hawks,W,,107,104,2,2,W 1,
5,Mon Nov 6 2000,7:30p EST,,Box Score,,Seattle SuperSonics,W,,110,99,3,2,W 2,
6,Wed Nov 8 2000,7:30p EST,,Box Score,,Charlotte Hornets,L,,90,96,3,3,L 1,
7,Thu Nov 9 2000,7:30p EST,,Box Score,@,Chicago Bulls,L,,90,95,3,4,L 2,
8,Sun Nov 12 2000,6:00p EST,,Box Score,@,Golden State Warriors,W,OT,105,99,4,4,W 1,
9,Tue Nov 14 2000,5:00p EST,,Box Score,@,Sacramento Kings,L,,82,96,4,5,L 1,
10,Thu Nov 16 2000,7:00p EST,,Box Score,@,Utah Jazz,L,,84,99,4,6,L 2,
11,Sun Nov 19 2000,6:00p EST,,Box Score,,Portland Trail Blazers,L,OT,102,110,4,7,L 3,
12,Tue Nov 21 2000,8:00p EST,,Box Score,,New York Knicks,L,,84,85,4,8,L 4,
13,Fri Nov 24 2000,7:30p EST,,Box Score,@,Boston Celtics,L,OT,98,103,4,9,L 5,
14,Sat Nov 25 2000,7:30p EST,,Box Score,,Atlanta Hawks,W,,114,92,5,9,W 1,
15,Mon Nov 27 2000,7:30p EST,,Box Score,,Milwaukee Bucks,L,,95,104,5,10,L 1,
16,Wed Nov 29 2000,7:30p EST,,Box Score,,Utah Jazz,L,,86,88,5,11,L 2,
17,Fri Dec 1 2000,7:30p EST,,Box Score,,New Jersey Nets,W,,83,80,6,11,W 1,
18,Sat Dec 2 2000,7:30p EST,,Box Score,@,New Jersey Nets,W,,95,74,7,11,W 2,
19,Tue Dec 5 2000,7:30p EST,,Box Score,,Boston Celtics,W,,101,98,8,11,W 3,
20,Thu Dec 7 2000,7:30p EST,,Box Score,,Denver Nuggets,W,,103,93,9,11,W 4,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
21,Mon Dec 11 2000,7:30p EST,,Box Score,@,Los Angeles Clippers,L,,80,92,9,12,L 1,
22,Tue Dec 12 2000,7:00p EST,,Box Score,@,Seattle SuperSonics,L,,92,97,9,13,L 2,
23,Fri Dec 15 2000,7:00p EST,,Box Score,@,Portland Trail Blazers,L,,96,106,9,14,L 3,
24,Sun Dec 17 2000,12:30p EST,,Box Score,@,Vancouver Grizzlies,W,,101,91,10,14,W 1,
25,Thu Dec 21 2000,7:30p EST,,Box Score,,Chicago Bulls,W,,99,88,11,14,W 2,
26,Sat Dec 23 2000,7:30p EST,,Box Score,,Cleveland Cavaliers,W,,111,92,12,14,W 3,
27,Mon Dec 25 2000,3:00p EST,,Box Score,@,Indiana Pacers,L,,93,103,12,15,L 1,
28,Tue Dec 26 2000,7:00p EST,,Box Score,@,Milwaukee Bucks,L,,77,89,12,16,L 2,
29,Thu Dec 28 2000,7:30p EST,,Box Score,,Detroit Pistons,W,,102,96,13,16,W 1,
30,Sat Dec 30 2000,1:00p EST,,Box Score,@,Boston Celtics,W,,95,90,14,16,W 2,
31,Tue Jan 2 2001,7:30p EST,,Box Score,,New Jersey Nets,L,,110,120,14,17,L 1,
32,Thu Jan 4 2001,8:00p EST,,Box Score,@,New York Knicks,L,OT,92,95,14,18,L 2,
33,Sat Jan 6 2001,7:30p EST,,Box Score,@,Atlanta Hawks,L,,82,83,14,19,L 3,
34,Tue Jan 9 2001,8:00p EST,,Box Score,,San Antonio Spurs,L,,95,112,14,20,L 4,
35,Thu Jan 11 2001,7:30p EST,,Box Score,@,New Jersey Nets,W,,101,87,15,20,W 1,
36,Sat Jan 13 2001,8:00p EST,,Box Score,,Golden State Warriors,W,,111,94,16,20,W 2,
37,Mon Jan 15 2001,7:30p EST,,Box Score,,Chicago Bulls,W,,113,104,17,20,W 3,
38,Thu Jan 18 2001,7:00p EST,,Box Score,@,Dallas Mavericks,L,OT,106,115,17,21,L 1,
39,Sat Jan 20 2001,7:00p EST,,Box Score,@,San Antonio Spurs,W,OT,112,109,18,21,W 1,
40,Tue Jan 23 2001,7:30p EST,,Box Score,,Toronto Raptors,W,2OT,116,111,19,21,W 2,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
41,Thu Jan 25 2001,7:00p EST,,Box Score,@,Minnesota Timberwolves,L,,100,109,19,22,L 1,
42,Sat Jan 27 2001,5:30p EST,,Box Score,,Miami Heat,L,,59,81,19,23,L 2,
43,Tue Jan 30 2001,8:00p EST,,Box Score,,Indiana Pacers,W,,93,86,20,23,W 1,
44,Wed Jan 31 2001,7:00p EST,,Box Score,@,Washington Wizards,W,,100,96,21,23,W 2,
45,Fri Feb 2 2001,7:00p EST,,Box Score,@,Philadelphia 76ers,W,2OT,123,117,22,23,W 3,
46,Sat Feb 3 2001,7:30p EST,,Box Score,,Atlanta Hawks,W,,96,84,23,23,W 4,
47,Tue Feb 6 2001,7:00p EST,,Box Score,@,Charlotte Hornets,W,,109,83,24,23,W 5,
48,Wed Feb 7 2001,7:30p EST,,Box Score,,Washington Wizards,W,,107,98,25,23,W 6,
49,Wed Feb 14 2001,7:30p EST,,Box Score,,Los Angeles Clippers,W,,114,101,26,23,W 7,
50,Fri Feb 16 2001,7:30p EST,,Box Score,,Houston Rockets,W,,108,93,27,23,W 8,
51,Sun Feb 18 2001,7:30p EST,,Box Score,,New York Knicks,W,,96,88,28,23,W 9,
52,Tue Feb 20 2001,7:30p EST,,Box Score,,Phoenix Suns,L,,104,110,28,24,L 1,
53,Fri Feb 23 2001,7:30p EST,,Box Score,@,Houston Rockets,L,,95,105,28,25,L 2,
54,Sun Feb 25 2001,2:30p EST,,Box Score,@,Los Angeles Lakers,L,,100,106,28,26,L 3,
55,Mon Feb 26 2001,7:00p EST,,Box Score,@,Denver Nuggets,W,,93,86,29,26,W 1,
56,Wed Feb 28 2001,8:30p EST,,Box Score,@,Phoenix Suns,W,,97,91,30,26,W 2,
57,Fri Mar 2 2001,7:30p EST,,Box Score,,Cleveland Cavaliers,W,,120,94,31,26,W 3,
58,Sun Mar 4 2001,12:30p EST,,Box Score,@,Detroit Pistons,L,,84,93,31,27,L 1,
59,Mon Mar 5 2001,7:30p EST,,Box Score,,Dallas Mavericks,W,,95,81,32,27,W 1,
60,Wed Mar 7 2001,7:30p EST,,Box Score,,Detroit Pistons,W,,112,102,33,27,W 2,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
61,Thu Mar 8 2001,7:30p EST,,Box Score,@,Charlotte Hornets,L,,84,97,33,28,L 1,
62,Sat Mar 10 2001,7:30p EST,,Box Score,,Minnesota Timberwolves,W,,105,93,34,28,W 1,
63,Tue Mar 13 2001,8:00p EST,,Box Score,,Sacramento Kings,L,OT,108,114,34,29,L 1,
64,Wed Mar 14 2001,7:30p EST,,Box Score,@,Cleveland Cavaliers,W,,97,87,35,29,W 1,
65,Fri Mar 16 2001,7:30p EST,,Box Score,,Vancouver Grizzlies,W,,103,99,36,29,W 2,
66,Sun Mar 18 2001,12:00p EST,,Box Score,,Los Angeles Lakers,L,,90,95,36,30,L 1,
67,Tue Mar 20 2001,7:30p EST,,Box Score,@,Chicago Bulls,W,,103,95,37,30,W 1,
68,Wed Mar 21 2001,7:00p EST,,Box Score,@,Indiana Pacers,L,,95,96,37,31,L 1,
69,Fri Mar 23 2001,7:30p EST,,Box Score,@,Milwaukee Bucks,L,,103,115,37,32,L 2,
70,Sun Mar 25 2001,12:00p EST,,Box Score,,Indiana Pacers,W,,84,82,38,32,W 1,
71,Wed Mar 28 2001,8:00p EST,,Box Score,@,Philadelphia 76ers,W,,96,95,39,32,W 2,
72,Fri Mar 30 2001,8:00p EST,,Box Score,@,Detroit Pistons,L,,97,100,39,33,L 1,
73,Sun Apr 1 2001,5:30p EST,,Box Score,@,Toronto Raptors,W,,104,101,40,33,W 1,
74,Tue Apr 3 2001,7:30p EST,,Box Score,@,New York Knicks,L,,82,94,40,34,L 1,
75,Wed Apr 4 2001,7:30p EST,,Box Score,,Boston Celtics,W,,108,101,41,34,W 1,
76,Fri Apr 6 2001,7:30p EST,,Box Score,,Toronto Raptors,L,,100,108,41,35,L 1,
77,Tue Apr 10 2001,7:30p EST,,Box Score,@,Cleveland Cavaliers,L,,78,101,41,36,L 2,
78,Thu Apr 12 2001,8:00p EST,,Box Score,,Philadelphia 76ers,W,,101,77,42,36,W 1,
79,Fri Apr 13 2001,7:00p EST,,Box Score,@,Washington Wizards,L,,110,113,42,37,L 1,
80,Sun Apr 15 2001,2:00p EST,,Box Score,@,Miami Heat,W,,90,73,43,37,W 1,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
81,Mon Apr 16 2001,7:30p EST,,Box Score,,Milwaukee Bucks,L,,89,101,43,38,L 1,
82,Wed Apr 18 2001,8:00p EST,,Box Score,,Miami Heat,L,,91,103,43,39,L 2,
