
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
1,Tue Oct 31 2000,7:30p EST,,Box Score,@,Golden State Warriors,L,,94,96,0,1,L 1,
2,Thu Nov 2 2000,7:00p EST,,Box Score,,Portland Trail Blazers,W,,108,82,1,1,W 1,
3,Sat Nov 4 2000,7:00p EST,,Box Score,@,Denver Nuggets,W,,102,99,2,1,W 2,
4,Sun Nov 5 2000,6:00p EST,,Box Score,,Houston Rockets,W,,104,99,3,1,W 3,
5,Tue Nov 7 2000,7:00p EST,,Box Score,,San Antonio Spurs,W,,100,81,4,1,W 4,
6,Thu Nov 9 2000,7:00p EST,,Box Score,,Atlanta Hawks,W,,88,79,5,1,W 5,
7,Sat Nov 11 2000,7:00p EST,,Box Score,,Miami Heat,W,,84,82,6,1,W 6,
8,Wed Nov 15 2000,7:00p EST,,Box Score,,Dallas Mavericks,W,,99,78,7,1,W 7,
9,Fri Nov 17 2000,7:00p EST,,Box Score,,New York Knicks,L,,85,90,7,2,L 1,
10,Sat Nov 18 2000,7:30p EST,,Box Score,@,Houston Rockets,L,,89,94,7,3,L 2,
11,Wed Nov 22 2000,7:00p EST,,Box Score,,New Jersey Nets,W,,97,85,8,3,W 1,
12,Fri Nov 24 2000,7:00p EST,,Box Score,,Golden State Warriors,W,,80,74,9,3,W 2,
13,Sat Nov 25 2000,7:30p EST,,Box Score,@,Los Angeles Clippers,W,OT,95,89,10,3,W 3,
14,Wed Nov 29 2000,7:00p EST,,Box Score,@,Vancouver Grizzlies,L,2OT,106,109,10,4,L 1,
15,Fri Dec 1 2000,7:30p EST,,Box Score,@,Sacramento Kings,L,,98,105,10,5,L 2,
16,Sun Dec 3 2000,6:00p EST,,Box Score,,Portland Trail Blazers,W,,84,79,11,5,W 1,
17,Thu Dec 7 2000,7:00p EST,,Box Score,@,Milwaukee Bucks,W,,104,96,12,5,W 2,
18,Fri Dec 8 2000,7:30p EST,,Box Score,@,New Jersey Nets,L,,84,86,12,6,L 1,
19,Sun Dec 10 2000,3:30p EST,,Box Score,@,Toronto Raptors,W,,95,87,13,6,W 1,
20,Mon Dec 11 2000,7:30p EST,,Box Score,@,Chicago Bulls,W,,86,80,14,6,W 2,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
21,Wed Dec 13 2000,6:00p EST,,Box Score,,San Antonio Spurs,W,,103,93,15,6,W 3,
22,Fri Dec 15 2000,7:00p EST,,Box Score,,Los Angeles Clippers,L,,88,98,15,7,L 1,
23,Sat Dec 16 2000,7:30p EST,,Box Score,@,San Antonio Spurs,L,,82,90,15,8,L 2,
24,Tue Dec 19 2000,7:00p EST,,Box Score,,Detroit Pistons,L,,84,89,15,9,L 3,
25,Sat Dec 23 2000,7:00p EST,,Box Score,,Denver Nuggets,W,,102,93,16,9,W 1,
26,Tue Dec 26 2000,7:30p EST,,Box Score,@,Vancouver Grizzlies,W,,97,95,17,9,W 2,
27,Thu Dec 28 2000,7:00p EST,,Box Score,,Los Angeles Lakers,L,,78,115,17,10,L 1,
28,Sat Dec 30 2000,7:00p EST,,Box Score,,Toronto Raptors,W,,109,103,18,10,W 1,
29,Tue Jan 2 2001,7:30p EST,,Box Score,@,Sacramento Kings,L,OT,117,121,18,11,L 1,
30,Wed Jan 3 2001,7:00p EST,,Box Score,,Los Angeles Clippers,W,,90,85,19,11,W 1,
31,Fri Jan 5 2001,7:00p EST,,Box Score,,Vancouver Grizzlies,W,,108,76,20,11,W 2,
32,Sun Jan 7 2001,6:00p EST,,Box Score,,Minnesota Timberwolves,L,,88,108,20,12,L 1,
33,Thu Jan 11 2001,6:00p EST,,Box Score,,Indiana Pacers,W,,93,85,21,12,W 1,
34,Sat Jan 13 2001,4:30p EST,,Box Score,@,Dallas Mavericks,W,,103,86,22,12,W 2,
35,Sun Jan 14 2001,6:00p EST,,Box Score,,Seattle SuperSonics,L,,87,106,22,13,L 1,
36,Wed Jan 17 2001,7:30p EST,,Box Score,@,Seattle SuperSonics,W,,89,80,23,13,W 1,
37,Fri Jan 19 2001,7:00p EST,,Box Score,,Golden State Warriors,L,,95,103,23,14,L 1,
38,Sun Jan 21 2001,12:30p EST,,Box Score,@,Utah Jazz,L,,98,109,23,15,L 2,
39,Tue Jan 23 2001,7:00p EST,,Box Score,@,Minnesota Timberwolves,L,,73,82,23,16,L 3,
