
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
1,Fri Nov 3 1995,,,Box Score,,Vancouver Grizzlies,L,,80,92,0,1,L 1,
2,Sun Nov 5 1995,,,Box Score,,Utah Jazz,W,,109,105,1,1,W 1,
3,Tue Nov 7 1995,,,Box Score,@,New Jersey Nets,L,,84,104,1,2,L 1,
4,Wed Nov 8 1995,,,Box Score,@,Detroit Pistons,L,OT,100,107,1,3,L 2,
5,Fri Nov 10 1995,,,Box Score,@,Minnesota Timberwolves,W,,108,102,2,3,W 1,
6,Sat Nov 11 1995,,,Box Score,@,Chicago Bulls,L,,106,110,2,4,L 1,
7,Tue Nov 14 1995,,,Box Score,,New York Knicks,W,,105,99,3,4,W 1,
8,Thu Nov 16 1995,,,Box Score,,Sacramento Kings,L,,102,105,3,5,L 1,
9,Sat Nov 18 1995,,,Box Score,@,Phoenix Suns,L,,102,107,3,6,L 2,
10,Mon Nov 20 1995,,,Box Score,,Los Angeles Clippers,W,,113,94,4,6,W 1,
11,Tue Nov 21 1995,,,Box Score,@,Los Angeles Lakers,W,,109,108,5,6,W 2,
12,Fri Nov 24 1995,,,Box Score,,New Jersey Nets,W,,99,87,6,6,W 3,
13,Mon Nov 27 1995,,,Box Score,,Chicago Bulls,L,,104,107,6,7,L 1,
14,Wed Nov 29 1995,,,Box Score,@,Golden State Warriors,W,,112,98,7,7,W 1,
15,Thu Nov 30 1995,,,Box Score,,Milwaukee Bucks,L,,99,100,7,8,L 1,
16,Sun Dec 3 1995,,,Box Score,,Orlando Magic,W,,93,82,8,8,W 1,
17,Thu Dec 7 1995,,,Box Score,,Toronto Raptors,W,,96,88,9,8,W 2,
18,Sat Dec 9 1995,,,Box Score,@,Seattle SuperSonics,L,,97,106,9,9,L 1,
19,Sun Dec 10 1995,,,Box Score,,Houston Rockets,W,2OT,103,101,10,9,W 1,
20,Thu Dec 14 1995,,,Box Score,,Charlotte Hornets,W,,116,109,11,9,W 2,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
21,Fri Dec 15 1995,,,Box Score,@,Vancouver Grizzlies,L,OT,100,104,11,10,L 1,
22,Sun Dec 17 1995,,,Box Score,,Washington Bullets,L,,100,112,11,11,L 2,
