
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
1,Tue Nov 2 1999,,,Box Score,,Philadelphia 76ers,W,,89,76,1,0,W 1,
2,Thu Nov 4 1999,,,Box Score,,Golden State Warriors,W,,104,81,2,0,W 2,
3,Fri Nov 5 1999,,,Box Score,@,Houston Rockets,W,,95,85,3,0,W 3,
4,Sun Nov 7 1999,,,Box Score,@,Phoenix Suns,L,,74,77,3,1,L 1,
5,Tue Nov 9 1999,,,Box Score,@,Golden State Warriors,W,,118,89,4,1,W 1,
6,Wed Nov 10 1999,,,Box Score,@,Los Angeles Clippers,W,,99,94,5,1,W 2,
7,Sat Nov 13 1999,,,Box Score,,Charlotte Hornets,W,,95,79,6,1,W 3,
8,Mon Nov 15 1999,,,Box Score,@,Utah Jazz,L,,85,91,6,2,L 1,
9,Tue Nov 16 1999,,,Box Score,,Indiana Pacers,W,OT,90,87,7,2,W 1,
10,Thu Nov 18 1999,,,Box Score,@,Milwaukee Bucks,L,,88,99,7,3,L 1,
11,Sat Nov 20 1999,,,Box Score,,Dallas Mavericks,W,,106,90,8,3,W 1,
12,Mon Nov 22 1999,,,Box Score,@,Philadelphia 76ers,W,,94,91,9,3,W 2,
13,Wed Nov 24 1999,,,Box Score,@,Boston Celtics,W,,121,98,10,3,W 3,
14,Fri Nov 26 1999,,,Box Score,,Chicago Bulls,W,,101,78,11,3,W 4,
15,Sat Nov 27 1999,,,Box Score,,Denver Nuggets,W,,106,87,12,3,W 5,
16,Tue Nov 30 1999,,,Box Score,,Detroit Pistons,W,,106,87,13,3,W 6,
17,Thu Dec 2 1999,,,Box Score,@,New Jersey Nets,W,,96,94,14,3,W 7,
18,Fri Dec 3 1999,,,Box Score,@,Detroit Pistons,L,,80,102,14,4,L 1,
19,Sun Dec 5 1999,,,Box Score,@,Toronto Raptors,L,,92,98,14,5,L 2,
20,Tue Dec 7 1999,,,Box Score,@,Indiana Pacers,L,,77,83,14,6,L 3,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
21,Thu Dec 9 1999,,,Box Score,,Vancouver Grizzlies,W,,99,91,15,6,W 1,
22,Sat Dec 11 1999,,,Box Score,,Washington Wizards,L,,89,99,15,7,L 1,
23,Tue Dec 14 1999,,,Box Score,@,Dallas Mavericks,W,,111,93,16,7,W 1,
24,Wed Dec 15 1999,,,Box Score,,Houston Rockets,W,,83,77,17,7,W 2,
25,Fri Dec 17 1999,,,Box Score,,Boston Celtics,W,,103,94,18,7,W 3,
26,Sat Dec 18 1999,,,Box Score,@,Denver Nuggets,L,,84,86,18,8,L 1,
27,Tue Dec 21 1999,,,Box Score,,Phoenix Suns,W,OT,91,90,19,8,W 1,
28,Thu Dec 23 1999,,,Box Score,,Milwaukee Bucks,L,,91,94,19,9,L 1,
29,Sat Dec 25 1999,,,Box Score,@,Los Angeles Lakers,L,,93,99,19,10,L 2,
30,Mon Dec 27 1999,,,Box Score,@,Golden State Warriors,W,,105,83,20,10,W 1,
31,Thu Dec 30 1999,,,Box Score,@,Vancouver Grizzlies,W,,98,88,21,10,W 2,
32,Tue Jan 4 2000,,,Box Score,@,Minnesota Timberwolves,L,,88,91,21,11,L 1,
33,Wed Jan 5 2000,,,Box Score,,Seattle SuperSonics,L,,96,99,21,12,L 2,
34,Fri Jan 7 2000,,,Box Score,@,Phoenix Suns,W,,102,83,22,12,W 1,
35,Sat Jan 8 2000,,,Box Score,,Orlando Magic,W,,127,92,23,12,W 2,
36,Mon Jan 10 2000,,,Box Score,,Utah Jazz,W,,93,86,24,12,W 3,
37,Thu Jan 13 2000,,,Box Score,@,Sacramento Kings,L,,103,107,24,13,L 1,
38,Fri Jan 14 2000,,,Box Score,@,Seattle SuperSonics,L,,85,91,24,14,L 2,
39,Mon Jan 17 2000,,,Box Score,@,Los Angeles Clippers,W,,99,93,25,14,W 1,
40,Wed Jan 19 2000,,,Box Score,,Portland Trail Blazers,L,,95,105,25,15,L 1,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
41,Sat Jan 22 2000,,,Box Score,,New York Knicks,W,,96,83,26,15,W 1,
42,Tue Jan 25 2000,,,Box Score,,Los Angeles Clippers,W,,105,82,27,15,W 2,
43,Thu Jan 27 2000,,,Box Score,,Minnesota Timberwolves,W,,92,80,28,15,W 3,
44,Sat Jan 29 2000,,,Box Score,@,Portland Trail Blazers,L,,67,81,28,16,L 1,
45,Tue Feb 1 2000,,,Box Score,,Los Angeles Lakers,W,,105,81,29,16,W 1,
46,Thu Feb 3 2000,,,Box Score,,Toronto Raptors,W,,112,95,30,16,W 2,
47,Sun Feb 6 2000,,,Box Score,@,Utah Jazz,L,,90,93,30,17,L 1,
48,Tue Feb 8 2000,,,Box Score,,Seattle SuperSonics,W,,79,77,31,17,W 1,
49,Wed Feb 9 2000,,,Box Score,@,Denver Nuggets,W,,106,97,32,17,W 2,
50,Tue Feb 15 2000,,,Box Score,@,Cleveland Cavaliers,L,,81,92,32,18,L 1,
51,Fri Feb 18 2000,,,Box Score,,Houston Rockets,W,,116,92,33,18,W 1,
52,Sun Feb 20 2000,,,Box Score,@,Houston Rockets,W,OT,113,111,34,18,W 2,
53,Mon Feb 21 2000,,,Box Score,,Phoenix Suns,L,,89,98,34,19,L 1,
54,Thu Feb 24 2000,,,Box Score,@,Charlotte Hornets,W,,72,70,35,19,W 1,
55,Fri Feb 25 2000,,,Box Score,@,Chicago Bulls,W,,91,78,36,19,W 2,
56,Sun Feb 27 2000,,,Box Score,@,Minnesota Timberwolves,L,,98,102,36,20,L 1,
57,Tue Feb 29 2000,,,Box Score,,Miami Heat,W,,93,69,37,20,W 1,
58,Thu Mar 2 2000,,,Box Score,,Minnesota Timberwolves,L,,102,108,37,21,L 1,
59,Sat Mar 4 2000,,,Box Score,,Sacramento Kings,L,OT,103,108,37,22,L 2,
60,Mon Mar 6 2000,,,Box Score,,New Jersey Nets,W,,106,104,38,22,W 1,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
61,Thu Mar 9 2000,,,Box Score,@,Atlanta Hawks,W,,105,79,39,22,W 2,
62,Fri Mar 10 2000,,,Box Score,@,Washington Wizards,W,OT,106,99,40,22,W 3,
63,Sun Mar 12 2000,,,Box Score,@,New York Knicks,L,,80,93,40,23,L 1,
64,Tue Mar 14 2000,,,Box Score,,Atlanta Hawks,W,,94,79,41,23,W 1,
