
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
1,Sat Nov 3 1990,,,Box Score,,Houston Rockets,W,,118,106,1,0,W 1,
2,Tue Nov 6 1990,,,Box Score,,Detroit Pistons,W,,100,92,2,0,W 2,
3,Fri Nov 9 1990,,,Box Score,@,Denver Nuggets,W,,135,129,3,0,W 3,
4,Sat Nov 10 1990,,,Box Score,,Golden State Warriors,L,,100,117,3,1,L 1,at Tacoma WA
5,Tue Nov 13 1990,,,Box Score,,New York Knicks,L,OT,110,116,3,2,L 2,
6,Sat Nov 17 1990,,,Box Score,,Chicago Bulls,L,,95,116,3,3,L 3,
7,Sun Nov 18 1990,,,Box Score,@,Los Angeles Clippers,L,,65,78,3,4,L 4,
8,Tue Nov 20 1990,,,Box Score,,New Jersey Nets,W,,105,88,4,4,W 1,
9,Fri Nov 23 1990,,,Box Score,@,Utah Jazz,L,,96,97,4,5,L 1,
10,Tue Nov 27 1990,,,Box Score,,San Antonio Spurs,L,,111,124,4,6,L 2,
11,Thu Nov 29 1990,,,Box Score,@,Phoenix Suns,L,,110,128,4,7,L 3,
12,Sat Dec 1 1990,,,Box Score,,Portland Trail Blazers,L,3OT,124,130,4,8,L 4,
13,Mon Dec 3 1990,,,Box Score,@,Boston Celtics,L,,102,135,4,9,L 5,
14,Tue Dec 4 1990,,,Box Score,@,New Jersey Nets,L,,102,106,4,10,L 6,
15,Thu Dec 6 1990,,,Box Score,@,Miami Heat,W,,105,103,5,10,W 1,
16,Fri Dec 7 1990,,,Box Score,@,Orlando Magic,L,,100,106,5,11,L 1,
17,Sun Dec 9 1990,,,Box Score,@,Milwaukee Bucks,L,,99,105,5,12,L 2,
18,Wed Dec 12 1990,,,Box Score,,Indiana Pacers,W,,99,90,6,12,W 1,
19,Thu Dec 13 1990,,,Box Score,@,Golden State Warriors,L,,106,129,6,13,L 1,
20,Sat Dec 15 1990,,,Box Score,,Dallas Mavericks,W,,106,105,7,13,W 1,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
21,Tue Dec 18 1990,,,Box Score,,Orlando Magic,W,,122,105,8,13,W 2,
22,Thu Dec 20 1990,,,Box Score,@,Sacramento Kings,W,,110,75,9,13,W 3,
23,Sat Dec 22 1990,,,Box Score,,Sacramento Kings,W,,121,93,10,13,W 4,
24,Wed Dec 26 1990,,,Box Score,@,Cleveland Cavaliers,W,,99,97,11,13,W 5,
25,Thu Dec 27 1990,,,Box Score,@,Washington Bullets,W,,125,120,12,13,W 6,
26,Sat Dec 29 1990,,,Box Score,@,Chicago Bulls,L,,91,116,12,14,L 1,
27,Sun Dec 30 1990,,,Box Score,@,Minnesota Timberwolves,L,,106,126,12,15,L 2,
28,Wed Jan 2 1991,,,Box Score,,Philadelphia 76ers,W,,127,99,13,15,W 1,
29,Fri Jan 4 1991,,,Box Score,,Miami Heat,W,,112,86,14,15,W 2,
30,Sun Jan 6 1991,,,Box Score,@,Portland Trail Blazers,L,,111,114,14,16,L 1,
31,Tue Jan 8 1991,,,Box Score,,Los Angeles Lakers,W,,96,88,15,16,W 1,
32,Thu Jan 10 1991,,,Box Score,,Golden State Warriors,L,,103,113,15,17,L 1,
33,Sat Jan 12 1991,,,Box Score,@,Sacramento Kings,L,,85,101,15,18,L 2,
34,Tue Jan 15 1991,,,Box Score,,Denver Nuggets,W,,146,99,16,18,W 1,
35,Fri Jan 18 1991,,,Box Score,@,Los Angeles Lakers,L,,96,105,16,19,L 1,
36,Sat Jan 19 1991,,,Box Score,,Washington Bullets,W,,111,89,17,19,W 1,
37,Tue Jan 22 1991,,,Box Score,,Milwaukee Bucks,W,,132,101,18,19,W 2,
38,Fri Jan 25 1991,,,Box Score,@,Phoenix Suns,L,,113,128,18,20,L 1,
39,Sat Jan 26 1991,,,Box Score,,Atlanta Hawks,W,,103,102,19,20,W 1,
40,Mon Jan 28 1991,,,Box Score,@,San Antonio Spurs,L,,107,119,19,21,L 1,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
41,Tue Jan 29 1991,,,Box Score,@,Dallas Mavericks,L,,112,117,19,22,L 2,
42,Thu Jan 31 1991,,,Box Score,@,Houston Rockets,W,,97,94,20,22,W 1,
43,Sat Feb 2 1991,,,Box Score,@,Indiana Pacers,L,,100,106,20,23,L 1,
44,Mon Feb 4 1991,,,Box Score,@,Charlotte Hornets,W,,100,93,21,23,W 1,
