
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
1,Fri Nov 1 1996,,,Box Score,,New York Knicks,L,,99,107,0,1,L 1,
2,Sat Nov 2 1996,,,Box Score,@,Charlotte Hornets,L,,98,109,0,2,L 2,
3,Tue Nov 5 1996,,,Box Score,,Dallas Mavericks,W,,100,96,1,2,W 1,
4,Fri Nov 8 1996,,,Box Score,,Los Angeles Lakers,W,,93,92,2,2,W 2,
5,Mon Nov 11 1996,,,Box Score,,Denver Nuggets,L,,93,104,2,3,L 1,
6,Wed Nov 13 1996,,,Box Score,,Philadelphia 76ers,W,,110,98,3,3,W 1,
7,Thu Nov 14 1996,,,Box Score,@,New York Knicks,L,,96,99,3,4,L 1,
8,Sat Nov 16 1996,,,Box Score,@,Orlando Magic,L,,87,92,3,5,L 2,
9,Tue Nov 19 1996,,,Box Score,,Seattle SuperSonics,L,,98,106,3,6,L 3,
10,Thu Nov 21 1996,,,Box Score,,Cleveland Cavaliers,L,,81,89,3,7,L 4,
11,Sat Nov 23 1996,,,Box Score,,Atlanta Hawks,L,,88,91,3,8,L 5,
12,Tue Nov 26 1996,,,Box Score,,Sacramento Kings,L,,87,98,3,9,L 6,
13,Wed Nov 27 1996,,,Box Score,,Charlotte Hornets,W,,92,88,4,9,W 1,
14,Sat Nov 30 1996,,,Box Score,@,Minnesota Timberwolves,L,,70,79,4,10,L 1,
15,Mon Dec 2 1996,,,Box Score,,Houston Rockets,W,,100,89,5,10,W 1,
16,Tue Dec 3 1996,,,Box Score,@,Cleveland Cavaliers,L,,74,93,5,11,L 1,
17,Thu Dec 5 1996,,,Box Score,,Washington Bullets,W,,82,80,6,11,W 1,
18,Sat Dec 7 1996,,,Box Score,@,Atlanta Hawks,L,,75,101,6,12,L 1,
19,Sun Dec 8 1996,,,Box Score,,Chicago Bulls,W,,97,89,7,12,W 1,
20,Tue Dec 10 1996,,,Box Score,,Golden State Warriors,L,,91,101,7,13,L 1,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
21,Wed Dec 11 1996,,,Box Score,@,Boston Celtics,L,3OT,113,115,7,14,L 2,
22,Sat Dec 14 1996,,,Box Score,@,Miami Heat,L,,88,89,7,15,L 3,
23,Mon Dec 16 1996,,,Box Score,,Detroit Pistons,L,,92,98,7,16,L 4,
24,Tue Dec 17 1996,,,Box Score,@,New Jersey Nets,W,,97,88,8,16,W 1,
25,Thu Dec 19 1996,,,Box Score,,Milwaukee Bucks,W,,96,93,9,16,W 2,
26,Fri Dec 20 1996,,,Box Score,@,Cleveland Cavaliers,L,,82,91,9,17,L 1,
