
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
1,Sun Feb 7 1999,,,Box Score,@,Sacramento Kings,L,,87,109,0,1,L 1,
2,Mon Feb 8 1999,,,Box Score,,Portland Trail Blazers,L,,76,95,0,2,L 2,
3,Wed Feb 10 1999,,,Box Score,,Los Angeles Clippers,W,,105,99,1,2,W 1,
4,Thu Feb 11 1999,,,Box Score,,Indiana Pacers,L,,97,101,1,3,L 1,
5,Sun Feb 14 1999,,,Box Score,,Dallas Mavericks,W,,96,92,2,3,W 1,
6,Tue Feb 16 1999,,,Box Score,@,Los Angeles Clippers,W,2OT,93,89,3,3,W 2,at Anaheim CA
7,Wed Feb 17 1999,,,Box Score,,Boston Celtics,L,3OT,129,131,3,4,L 1,
8,Fri Feb 19 1999,,,Box Score,@,Minnesota Timberwolves,L,,96,115,3,5,L 2,
9,Sun Feb 21 1999,,,Box Score,@,Toronto Raptors,L,,87,102,3,6,L 3,
10,Tue Feb 23 1999,,,Box Score,,Los Angeles Lakers,W,,93,83,4,6,W 1,
11,Thu Feb 25 1999,,,Box Score,,Phoenix Suns,L,,86,94,4,7,L 1,
12,Sat Feb 27 1999,,,Box Score,,Houston Rockets,L,,74,86,4,8,L 2,
13,Sun Feb 28 1999,,,Box Score,@,Denver Nuggets,L,,112,116,4,9,L 3,
14,Tue Mar 2 1999,,,Box Score,,Sacramento Kings,L,,101,111,4,10,L 4,
15,Wed Mar 3 1999,,,Box Score,@,Utah Jazz,L,,86,109,4,11,L 5,
16,Thu Mar 4 1999,,,Box Score,,Minnesota Timberwolves,L,,93,102,4,12,L 6,
17,Sat Mar 6 1999,,,Box Score,,Houston Rockets,L,,92,107,4,13,L 7,
18,Mon Mar 8 1999,,,Box Score,,Portland Trail Blazers,L,,73,92,4,14,L 8,
19,Tue Mar 9 1999,,,Box Score,@,Golden State Warriors,L,,82,92,4,15,L 9,
20,Thu Mar 11 1999,,,Box Score,@,Houston Rockets,L,,91,102,4,16,L 10,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
21,Sat Mar 13 1999,,,Box Score,@,Dallas Mavericks,L,,74,91,4,17,L 11,
22,Mon Mar 15 1999,,,Box Score,@,Denver Nuggets,L,,84,110,4,18,L 12,
23,Tue Mar 16 1999,,,Box Score,@,Seattle SuperSonics,L,,85,87,4,19,L 13,
24,Thu Mar 18 1999,,,Box Score,,Minnesota Timberwolves,W,,86,81,5,19,W 1,
25,Sat Mar 20 1999,,,Box Score,,San Antonio Spurs,L,OT,88,92,5,20,L 1,
26,Mon Mar 22 1999,,,Box Score,@,Phoenix Suns,L,,84,89,5,21,L 2,
27,Wed Mar 24 1999,,,Box Score,,Philadelphia 76ers,L,OT,90,95,5,22,L 3,
28,Fri Mar 26 1999,,,Box Score,,Utah Jazz,L,,80,85,5,23,L 4,
29,Mon Mar 29 1999,,,Box Score,@,Los Angeles Lakers,L,,98,116,5,24,L 5,
30,Tue Mar 30 1999,,,Box Score,,Denver Nuggets,W,,101,87,6,24,W 1,
31,Thu Apr 1 1999,,,Box Score,@,San Antonio Spurs,L,,91,103,6,25,L 1,
32,Fri Apr 2 1999,,,Box Score,@,Atlanta Hawks,L,,81,84,6,26,L 2,at Atlanta GA (Alexander Memorial Coliseum at McDonald's Center)
33,Sun Apr 4 1999,,,Box Score,@,Chicago Bulls,L,,87,88,6,27,L 3,
34,Tue Apr 6 1999,,,Box Score,@,Portland Trail Blazers,L,,89,98,6,28,L 4,
35,Wed Apr 7 1999,,,Box Score,,Denver Nuggets,L,,84,87,6,29,L 5,
36,Fri Apr 9 1999,,,Box Score,,Seattle SuperSonics,W,,98,93,7,29,W 1,
37,Sun Apr 11 1999,,,Box Score,,Sacramento Kings,L,,88,91,7,30,L 1,
38,Mon Apr 12 1999,,,Box Score,@,Utah Jazz,L,,80,98,7,31,L 2,
39,Wed Apr 14 1999,,,Box Score,@,Houston Rockets,L,,85,102,7,32,L 3,
40,Fri Apr 16 1999,,,Box Score,@,Minnesota Timberwolves,L,,75,89,7,33,L 4,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
41,Sun Apr 18 1999,,,Box Score,,Golden State Warriors,L,,85,90,7,34,L 5,
42,Mon Apr 19 1999,,,Box Score,@,Los Angeles Lakers,L,,102,117,7,35,L 6,
43,Wed Apr 21 1999,,,Box Score,,Los Angeles Clippers,W,,97,94,8,35,W 1,
44,Fri Apr 23 1999,,,Box Score,,Seattle SuperSonics,L,,84,97,8,36,L 1,
45,Sat Apr 24 1999,,,Box Score,@,Los Angeles Clippers,L,,96,105,8,37,L 2,
46,Tue Apr 27 1999,,,Box Score,@,Dallas Mavericks,L,,75,84,8,38,L 3,
47,Thu Apr 29 1999,,,Box Score,,San Antonio Spurs,L,,72,99,8,39,L 4,
48,Sat May 1 1999,,,Box Score,@,Phoenix Suns,L,,77,107,8,40,L 5,
49,Mon May 3 1999,,,Box Score,,Golden State Warriors,L,,83,91,8,41,L 6,
50,Wed May 5 1999,,,Box Score,@,Sacramento Kings,L,,95,99,8,42,L 7,
