
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
1,Fri Nov 1 1991,,,Box Score,@,Indiana Pacers,W,,109,103,1,0,W 1,
2,Sat Nov 2 1991,,,Box Score,,Boston Celtics,W,OT,126,118,2,0,W 2,
3,Tue Nov 5 1991,,,Box Score,,Philadelphia 76ers,L,,106,107,2,1,L 1,
4,Wed Nov 6 1991,,,Box Score,@,Orlando Magic,L,,88,105,2,2,L 2,
5,Sat Nov 9 1991,,,Box Score,,Golden State Warriors,L,,119,127,2,3,L 3,
6,Sun Nov 10 1991,,,Box Score,@,Detroit Pistons,L,,79,85,2,4,L 4,
7,Tue Nov 12 1991,,,Box Score,,Orlando Magic,L,,82,95,2,5,L 5,
8,Wed Nov 13 1991,,,Box Score,@,Minnesota Timberwolves,W,OT,119,114,3,5,W 1,
9,Fri Nov 15 1991,,,Box Score,@,New Jersey Nets,W,OT,116,111,4,5,W 2,
10,Sat Nov 16 1991,,,Box Score,,Utah Jazz,L,,98,107,4,6,L 1,
11,Tue Nov 19 1991,,,Box Score,,Seattle SuperSonics,L,,106,113,4,7,L 2,
12,Thu Nov 21 1991,,,Box Score,@,Milwaukee Bucks,L,,87,112,4,8,L 3,
13,Sat Nov 23 1991,,,Box Score,,Atlanta Hawks,W,,126,115,5,8,W 1,
14,Mon Nov 25 1991,,,Box Score,@,Boston Celtics,L,,108,121,5,9,L 1,at Hartford CT
15,Fri Nov 29 1991,,,Box Score,@,Los Angeles Clippers,W,,101,94,6,9,W 1,
16,Sun Dec 1 1991,,,Box Score,@,Portland Trail Blazers,L,,87,91,6,10,L 1,
17,Tue Dec 3 1991,,,Box Score,@,Seattle SuperSonics,L,,90,91,6,11,L 2,
18,Wed Dec 4 1991,,,Box Score,@,Utah Jazz,L,,74,101,6,12,L 3,
19,Fri Dec 6 1991,,,Box Score,,Detroit Pistons,L,,94,105,6,13,L 4,
20,Sat Dec 7 1991,,,Box Score,@,Cleveland Cavaliers,L,,97,99,6,14,L 5,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
21,Thu Dec 12 1991,,,Box Score,,Milwaukee Bucks,L,,97,109,6,15,L 6,
22,Sat Dec 14 1991,,,Box Score,,Chicago Bulls,L,,100,113,6,16,L 7,
23,Tue Dec 17 1991,,,Box Score,@,Houston Rockets,L,,97,100,6,17,L 8,
24,Wed Dec 18 1991,,,Box Score,@,San Antonio Spurs,W,,96,93,7,17,W 1,
25,Fri Dec 20 1991,,,Box Score,@,Dallas Mavericks,W,,107,99,8,17,W 2,
26,Sat Dec 21 1991,,,Box Score,@,Denver Nuggets,W,,117,102,9,17,W 3,
27,Fri Dec 27 1991,,,Box Score,,Houston Rockets,L,,100,107,9,18,L 1,
28,Sat Dec 28 1991,,,Box Score,,Charlotte Hornets,W,,129,124,10,18,W 1,at Baltimore MD
29,Mon Dec 30 1991,,,Box Score,,San Antonio Spurs,W,,94,84,11,18,W 2,
30,Fri Jan 3 1992,,,Box Score,@,New Jersey Nets,W,,112,108,12,18,W 3,
31,Sat Jan 4 1992,,,Box Score,,New York Knicks,L,,99,113,12,19,L 1,
32,Tue Jan 7 1992,,,Box Score,@,Chicago Bulls,L,,89,102,12,20,L 2,
33,Thu Jan 9 1992,,,Box Score,,Cleveland Cavaliers,L,,92,99,12,21,L 3,
34,Sat Jan 11 1992,,,Box Score,,Los Angeles Clippers,W,,107,96,13,21,W 1,
35,Tue Jan 14 1992,,,Box Score,,Indiana Pacers,W,2OT,127,118,14,21,W 2,
36,Thu Jan 16 1992,,,Box Score,,Miami Heat,L,,94,102,14,22,L 1,
